City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,albany,42.6001,-73.9662,11.76,49,99,1.87,US,1682461384
84,miri,4.4148,114.0089,25.08,94,20,1.03,MY,1682461634
85,san luis,-33.295,-66.3356,17.99,52,80,1.56,AR,1682461468
86,barrow,71.2906,-156.7887,-11.99,85,0,1.54,US,1682461635
87,victoria,22.2855,114.1577,21.08,78,52,5.36,HK,1682461048
88,mao,39.8885,4.2658,16.31,100,0,2.57,ES,1682461637
89,seoul,37.5683,126.9778,10.76,76,75,4.12,KR,1682461005
90,nikolskoye,59.7035,30.7861,11.94,65,9,1.94,RU,1682461468
91,yulara,-25.2406,130.9889,19.61,41,100,2.16,AU,1682461638
92,rockland,41.1668,-74.0496,14.47,38,93,1.34,US,1682461607
93,marawi,7.9986,124.2928,20.92,92,83,0.93,PH,1682461639
94,provideniya,64.3833,-173.3,-3.94,50,0,7.15,RU,1682461510
95,sorland,67.667,12.6934,3.92,56,100,7.49,NO,1682461641
96,kidal,18.4411,1.4078,30.13,9,0,3.03,ML,1682461442
97,khakhea,-24.6895,23.494,19.65,37,1,0.9,BW,1682461642
98,gobabis,-22.45,18.9667,23.32,41,92,2.58,NA,1682461642
99,castro,-24.7911,-50.0119,15.61,78,92,1.43,BR,1682461352
100,yining,29.0361,114.5636,8.63,94,0,0.67,CN,1682461643
101,izacic,44.875,15.7819,7.33,98,100,2.09,BA,1682461644
102,katsuura,35.1333,140.3,17.78,86,100,8.38,JP,1682461644
103,ouro preto do oeste,-10.7481,-62.2158,23.9,93,100,0.92,BR,1682461645
104,fort nelson,58.8053,-122.7002,9.41,39,75,7.2,CA,1682461646
105,plerin,48.5425,-2.7798,10.11,87,100,2.68,FR,1682461646
106,salalah,17.0151,54.0924,29.05,74,40,3.09,OM,1682461647
107,christchurch,-43.5333,172.6333,11.64,78,75,2.57,NZ,1682461450
108,clyde river,70.4692,-68.5914,-6.87,86,100,7.72,CA,1682461610
109,anadyr,64.75,177.4833,-7.72,61,0,4.92,RU,1682461649
110,de aar,-30.6497,24.0123,15.51,48,0,1.01,ZA,1682461649
111,jamestown,42.097,-79.2353,8.07,69,75,4.63,US,1682461423
112,bumba,2.1833,22.4667,22.89,91,80,0.75,CD,1682461650
113,lebu,-37.6167,-73.65,14.04,80,100,2.46,CL,1682461460
114,olavarria,-36.8927,-60.3225,18.22,54,6,0.95,AR,1682461651
115,nome,64.5011,-165.4064,-2.96,63,0,5.14,US,1682461187
116,bambous virieux,-20.3428,57.7575,24.14,88,75,3.6,MU,1682461652
117,port alfred,-33.5906,26.891,20.1,97,99,3.89,ZA,1682461516
118,lauria,40.0465,15.8358,11.99,93,100,3.52,IT,1682461654
119,barabash,43.2,131.4833,4.81,97,100,0.87,RU,1682461654
120,tasiilaq,65.6145,-37.6368,0.09,92,59,0.85,GL,1682461472
121,basoko,1.2391,23.616,21.67,95,47,0.73,CD,1682461655
122,honiara,-9.4333,159.95,27.69,77,100,1.92,SB,1682461437
123,chabahar,25.2919,60.643,24.94,63,87,4.13,IR,1682461656
124,huilong,31.8111,121.655,11.76,85,36,3.94,CN,1682461657
125,boa vista,2.8197,-60.6733,23.99,94,100,2.57,BR,1682461391
126,chokurdakh,70.6333,147.9167,-9.4,96,44,1.34,RU,1682461499
127,ambovombe,-25.1667,46.0833,18.62,74,31,2.52,MG,1682461658
